Cod_UF;UF;Ano;Tipo de floresta;Tipo de produto florestal;Produto florestal (com código);Grupo;Uso;Parte da planta;Espécie;Quantidade;Unidade de medida PEVS;Valor da produção (mil R$) (nominal) ;Fator de correção IPCA;Valor corrigido (mil R$) (real - IPCA 2023);Preço médio (R$/t) (nominal);Preço médio corrigido (R$/t) (real - IPCA 2023)
13;Amazonas;2008;Floresta Natural;PFNM;5.4 - Outras Fibras;5 - Fibras;Fibras; Não especificado; Não especificada;5;Toneladas;38,00 ;2,336720672;88,80 ;7.600,00;17.759,08
11;Rondônia;1996;Floresta Natural;PFNM;8.2 - Copaíba (óleo);8 - Oleaginosos;Oleaginosos;Exudatos;Copaíba;7;Toneladas;25,00 ;4,966056206;124,15 ;3.571,43;17.735,92
21;Maranhão;2013;Floresta Natural;PFNM;5.1 - Buriti;5 - Fibras;Fibras;Folha;Buriti;146;Toneladas;1.449,00 ;1,786224503;2.588,24 ;9.924,66;17.727,67
15;Pará;2012;Floresta Natural;PFNM;8.3 - Cumaru (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Cumaru;90;Toneladas;841,00 ;1,890495089;1.589,91 ;9.344,44;17.665,63
21;Maranhão;2015;Floresta Natural;PFNM;4.1 - Carnaúba (cera);4 - Ceras;Ceras;Folha;Carnaúba;49;Toneladas;564,00 ;1,524470319;859,80 ;11.510,20;17.546,96
21;Maranhão;2015;Floresta Natural;PFNM;5.1 - Buriti;5 - Fibras;Fibras;Folha;Buriti;135;Toneladas;1.552,00 ;1,524470319;2.365,98 ;11.496,30;17.525,76
24;Rio Grande do Norte;2023;Floresta Natural;PFNM;4.1 - Carnaúba (cera);4 - Ceras;Ceras;Folha;Carnaúba;40;Toneladas;701,00 ;1;701,00 ;17.525,00;17.525,00
12;Acre;2023;Floresta Natural;PFNM;3.2 - Hevea (látex coagulado);3 - Borrachas;Borrachas;Exudatos;Hevea;750;Toneladas;13.123,00 ;1;13.123,00 ;17.497,33;17.497,33
15;Pará;2008;Floresta Natural;PFNM;8.3 - Cumaru (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Cumaru;86;Toneladas;643,00 ;2,336720672;1.502,51 ;7.476,74;17.471,06
24;Rio Grande do Norte;2022;Floresta Natural;PFNM;4.1 - Carnaúba (cera);4 - Ceras;Ceras;Folha;Carnaúba;81;Toneladas;1.350,00 ;1,04819185;1.415,06 ;16.666,67;17.469,86
35;São Paulo;2021;Floresta Natural;PFNM;1.10 - Outros Alimentícios;1 - Alimentícios;Alimentícios; Não especificado; Não especificada;5;Toneladas;78,00 ;1,116013764;87,05 ;15.600,00;17.409,81
42;Santa Catarina;2003;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;193;Toneladas;1.102,00 ;3,03864389;3.348,59 ;5.709,84;17.350,18
15;Pará;2000;Floresta Natural;PFNM;8.2 - Copaíba (óleo);8 - Oleaginosos;Oleaginosos;Exudatos;Copaíba;13;Toneladas;56,00 ;4,026194958;225,47 ;4.307,69;17.343,61
51;Mato Grosso;2002;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;1;Toneladas;5,00 ;3,463558264;17,32 ;5.000,00;17.317,79
32;Espírito Santo;2003;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;3;Toneladas;17,00 ;3,03864389;51,66 ;5.666,67;17.218,98
13;Amazonas;2011;Floresta Natural;PFNM;8.2 - Copaíba (óleo);8 - Oleaginosos;Oleaginosos;Exudatos;Copaíba;168;Toneladas;1.451,00 ;1,993523839;2.892,60 ;8.636,90;17.217,88
15;Pará;2007;Floresta Natural;PFNM;8.8 - Outros Oleaginosos;8 - Oleaginosos;Oleaginosos; Não especificado; Não especificada;16;Toneladas;110,00 ;2,48649349;273,51 ;6.875,00;17.094,64
42;Santa Catarina;2004;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;132;Toneladas;790,00 ;2,843461732;2.246,33 ;5.984,85;17.017,69
13;Amazonas;2010;Floresta Natural;PFNM;8.2 - Copaíba (óleo);8 - Oleaginosos;Oleaginosos;Exudatos;Copaíba;538;Toneladas;4.284,00 ;2,132474426;9.135,52 ;7.962,83;16.980,52
15;Pará;2014;Floresta Natural;PFNM;8.3 - Cumaru (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Cumaru;90;Toneladas;908,00 ;1,675833333;1.521,66 ;10.088,89;16.907,30
24;Rio Grande do Norte;2021;Floresta Natural;PFNM;4.1 - Carnaúba (cera);4 - Ceras;Ceras;Folha;Carnaúba;83;Toneladas;1.256,00 ;1,116013764;1.401,71 ;15.132,53;16.888,11
21;Maranhão;2017;Floresta Natural;PFNM;5.1 - Buriti;5 - Fibras;Fibras;Folha;Buriti;122;Toneladas;1.496,00 ;1,376028681;2.058,54 ;12.262,30;16.873,27
21;Maranhão;2010;Floresta Natural;PFNM;4.1 - Carnaúba (cera);4 - Ceras;Ceras;Folha;Carnaúba;42;Toneladas;332,00 ;2,132474426;707,98 ;7.904,76;16.856,70
11;Rondônia;1997;Floresta Natural;PFNM;8.2 - Copaíba (óleo);8 - Oleaginosos;Oleaginosos;Exudatos;Copaíba;7;Toneladas;25,00 ;4,710526685;117,76 ;3.571,43;16.823,31
