Cod_UF;UF;Ano;Tipo de floresta;Tipo de produto florestal;Produto florestal (com código);Grupo;Uso;Parte da planta;Espécie;Quantidade;Unidade de medida PEVS;Valor da produção (mil R$) (nominal) ;Fator de correção IPCA;Valor corrigido (mil R$) (real - IPCA 2023);Preço médio (R$/t) (nominal);Preço médio corrigido (R$/t) (real - IPCA 2023)
13;Amazonas;2001;Floresta Natural;PFNM;8.1 - Babaçu (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Babaçu;1;Toneladas;1,00 ;3,756061826;3,76 ;1.000,00;3.756,06
16;Amapá;2001;Floresta Natural;PFNM;3.2 - Hevea (látex coagulado);3 - Borrachas;Borrachas;Exudatos;Hevea;16;Toneladas;16,00 ;3,756061826;60,10 ;1.000,00;3.756,06
17;Tocantins;2001;Floresta Natural;PFNM;5.1 - Buriti;5 - Fibras;Fibras;Folha;Buriti;1;Toneladas;1,00 ;3,756061826;3,76 ;1.000,00;3.756,06
22;Piauí;2001;Floresta Natural;PFNM;8.6 - Pequi (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Pequi;1;Toneladas;1,00 ;3,756061826;3,76 ;1.000,00;3.756,06
51;Mato Grosso;2001;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;1;Toneladas;1,00 ;3,756061826;3,76 ;1.000,00;3.756,06
51;Mato Grosso;2001;Floresta Natural;PFNM;2.1 - Ipecacuanha ou poaia (raiz);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Raiz;Ipecacuanha ou poaia;1;Toneladas;1,00 ;3,756061826;3,76 ;1.000,00;3.756,06
28;Sergipe;2006;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;520;Toneladas;754,00 ;2,58881797;1.951,97 ;1.450,00;3.753,79
35;São Paulo;2016;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;63089;Toneladas;167.561,00;1,413199631;236.797,14 ;2.655,95;3.753,38
31;Minas Gerais;2007;Floresta Natural;PFNM;2.3 - Urucum (semente);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Fruto/semente;Urucum;150;Toneladas;226,00 ;2,48649349;561,95 ;1.506,67;3.746,32
15;Pará;2016;Floresta Natural;PFNM;3.2 - Hevea (látex coagulado);3 - Borrachas;Borrachas;Exudatos;Hevea;60;Toneladas;159,00 ;1,413199631;224,70 ;2.650,00;3.744,98
31;Minas Gerais;2005;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;5;Toneladas;7,00 ;2,673339993;18,71 ;1.400,00;3.742,68
11;Rondônia;2020;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;170;Toneladas;515,00 ;1,235121696;636,09 ;3.029,41;3.741,69
11;Rondônia;2015;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;190;Toneladas;466,00 ;1,524470319;710,40 ;2.452,63;3.738,96
17;Tocantins;2009;Floresta Natural;PFNM;1.1 - Açaí (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Açaí;3;Toneladas;5,00 ;2,243257776;11,22 ;1.666,67;3.738,76
17;Tocantins;2009;Floresta Natural;PFNM;8.6 - Pequi (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Pequi;3;Toneladas;5,00 ;2,243257776;11,22 ;1.666,67;3.738,76
21;Maranhão;2011;Floresta Natural;PFNM;5.3 - Piaçava;5 - Fibras;Fibras;Folha;Piaçava;8;Toneladas;15,00 ;1,993523839;29,90 ;1.875,00;3.737,86
13;Amazonas;2012;Floresta Natural;PFNM;1.3 - Castanha-do-pará;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-do-pará;10478;Toneladas;20.715,00 ;1,890495089;39.161,61 ;1.977,00;3.737,51
14;Roraima;2020;Floresta Natural;PFNM;1.1 - Açaí (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Açaí;43;Toneladas;130,00 ;1,235121696;160,57 ;3.023,26;3.734,09
15;Pará;2010;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;4773;Toneladas;8.356,00 ;2,132474426;17.818,96 ;1.750,68;3.733,28
23;Ceará;2010;Floresta Natural;PFNM;5.1 - Buriti;5 - Fibras;Fibras;Folha;Buriti;4;Toneladas;7,00 ;2,132474426;14,93 ;1.750,00;3.731,83
26;Pernambuco;2010;Floresta Natural;PFNM;2.3 - Urucum (semente);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Fruto/semente;Urucum;4;Toneladas;7,00 ;2,132474426;14,93 ;1.750,00;3.731,83
25;Paraíba;2005;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;48;Toneladas;67,00 ;2,673339993;179,11 ;1.395,83;3.731,54
31;Minas Gerais;2018;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;6183;Toneladas;17.526,00;1,316055638;23.065,19 ;2.834,55;3.730,42
43;Rio Grande do Sul;2017;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;28687;Toneladas;77.757,00;1,376028681;106.995,86 ;2.710,53;3.729,77
13;Amazonas;2007;Floresta Natural;PFNM;1.9 - Umbu (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Umbu;2;Toneladas;3,00 ;2,48649349;7,46 ;1.500,00;3.729,74
15;Pará;2011;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;4849;Toneladas;9.068,00 ;1,993523839;18.077,27 ;1.870,08;3.728,04
17;Tocantins;2018;Floresta Natural;PFNM;8.1 - Babaçu (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Babaçu;412;Toneladas;1.167,00 ;1,316055638;1.535,84 ;2.832,52;3.727,76
31;Minas Gerais;2023;Floresta Natural;PFNM;1.8 - Pinhão;1 - Alimentícios;Alimentícios;Fruto/semente;Pinhão;4091;Toneladas;15.235,00 ;1;15.235,00 ;3.724,03;3.724,03
11;Rondônia;2021;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;174;Toneladas;580,00 ;1,116013764;647,29 ;3.333,33;3.720,05
35;São Paulo;2011;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;37563;Toneladas;70.086,00;1,993523839;139.718,11 ;1.865,83;3.719,57
35;São Paulo;2017;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;76911;Toneladas;207.763,00;1,376028681;285.887,85 ;2.701,34;3.717,13
29;Bahia;2013;Floresta Natural;PFNM;8.6 - Pequi (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Pequi;261;Toneladas;543,00 ;1,786224503;969,92 ;2.080,46;3.716,17
11;Rondônia;2020;Floresta Natural;PFNM;3.2 - Hevea (látex coagulado);3 - Borrachas;Borrachas;Exudatos;Hevea;133;Toneladas;400,00 ;1,235121696;494,05 ;3.007,52;3.714,65
25;Paraíba;2020;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;520;Toneladas;1.563,00 ;1,235121696;1.930,50 ;3.005,77;3.712,49
26;Pernambuco;2020;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;603;Toneladas;1.811,00 ;1,235121696;2.236,81 ;3.003,32;3.709,46
11;Rondônia;2013;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;170;Toneladas;353,00 ;1,786224503;630,54 ;2.076,47;3.709,04
15;Pará;1995;Floresta Natural;PFNM;10.3 - Outros Tanantes;10 - Tanantes;Tanantes; Não especificado; Não especificada;6;Toneladas;4,00 ;5,563116526;22,25 ;666,67;3.708,74
31;Minas Gerais;1995;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;3;Toneladas;2,00 ;5,563116526;11,13 ;666,67;3.708,74
26;Pernambuco;2019;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;524;Toneladas;1.514,00 ;1,283518088;1.943,25 ;2.889,31;3.708,49
24;Rio Grande do Norte;2012;Floresta Natural;PFNM;1.9 - Umbu (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Umbu;231;Toneladas;453,00 ;1,890495089;856,39 ;1.961,04;3.707,33
13;Amazonas;2020;Floresta Natural;PFNM;6.3 - Sorva;6 - Gomas não elásticas;Gomas não elásticas;Exudatos;Sorva;1;Toneladas;3,00 ;1,235121696;3,71 ;3.000,00;3.705,37
15;Pará;2020;Floresta Natural;PFNM;8.7 - Tucum (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Tucum;1;Toneladas;3,00 ;1,235121696;3,71 ;3.000,00;3.705,37
51;Mato Grosso;1999;Floresta Natural;PFNM;8.6 - Pequi (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Pequi;80;Toneladas;69,00 ;4,293959328;296,28 ;862,50;3.703,54
31;Minas Gerais;2010;Floresta Natural;PFNM;8.6 - Pequi (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Pequi;1724;Toneladas;2.993,00 ;2,132474426;6.382,50 ;1.736,08;3.702,14
28;Sergipe;2022;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;372;Toneladas;1.313,00 ;1,04819185;1.376,28 ;3.529,57;3.699,67
15;Pará;2022;Floresta Natural;PFNM;1.3 - Castanha-do-pará;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-do-pará;8807;Toneladas;31.075,00 ;1,04819185;32.572,56 ;3.528,44;3.698,49
35;São Paulo;2010;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;36555;Toneladas;63.399,00;2,132474426;135.196,75 ;1.734,35;3.698,45
31;Minas Gerais;2009;Floresta Natural;PFNM;8.6 - Pequi (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Pequi;1817;Toneladas;2.995,00 ;2,243257776;6.718,56 ;1.648,32;3.697,61
15;Pará;2015;Floresta Natural;PFNM;1.3 - Castanha-do-pará;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-do-pará;7967;Toneladas;19.314,00 ;1,524470319;29.443,62 ;2.424,25;3.695,70
41;Paraná;2020;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;4060;Toneladas;12.145,00;1,235121696;15.000,55 ;2.991,38;3.694,72
11;Rondônia;1994;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;58;Toneladas;31,00 ;6,909799807;214,20 ;534,48;3.693,17
15;Pará;2007;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;5562;Toneladas;8.261,00 ;2,48649349;20.540,92 ;1.485,26;3.693,08
15;Pará;1998;Floresta Natural;PFNM;10.3 - Outros Tanantes;10 - Tanantes;Tanantes; Não especificado; Não especificada;5;Toneladas;4,00 ;4,615840291;18,46 ;800,00;3.692,67
15;Pará;2018;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;46;Toneladas;129,00 ;1,316055638;169,77 ;2.804,35;3.690,68
29;Bahia;2002;Floresta Natural;PFNM;8.1 - Babaçu (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Babaçu;399;Toneladas;425,00 ;3,463558264;1.472,01 ;1.065,16;3.689,25
12;Acre;2005;Floresta Natural;PFNM;1.3 - Castanha-do-pará;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-do-pará;11142;Toneladas;15.376,00 ;2,673339993;41.105,28 ;1.380,00;3.689,22
31;Minas Gerais;2018;Floresta Natural;PFNM;1.10 - Outros Alimentícios;1 - Alimentícios;Alimentícios; Não especificado; Não especificada;510;Toneladas;1.426,00 ;1,316055638;1.876,70 ;2.796,08;3.679,79
15;Pará;2017;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;49;Toneladas;131,00 ;1,376028681;180,26 ;2.673,47;3.678,77
29;Bahia;2023;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;608;Toneladas;2.234,00 ;1;2.234,00 ;3.674,34;3.674,34
21;Maranhão;2016;Floresta Natural;PFNM;5.3 - Piaçava;5 - Fibras;Fibras;Folha;Piaçava;5;Toneladas;13,00 ;1,413199631;18,37 ;2.600,00;3.674,32
25;Paraíba;2015;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;206;Toneladas;496,00 ;1,524470319;756,14 ;2.407,77;3.670,57
13;Amazonas;2020;Floresta Natural;PFNM;1.3 - Castanha-do-pará;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-do-pará;11707;Toneladas;34.785,00 ;1,235121696;42.963,71 ;2.971,30;3.669,92
17;Tocantins;2017;Floresta Natural;PFNM;8.6 - Pequi (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Pequi;3;Toneladas;8,00 ;1,376028681;11,01 ;2.666,67;3.669,41
29;Bahia;2017;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;207;Toneladas;552,00 ;1,376028681;759,57 ;2.666,67;3.669,41
27;Alagoas;2004;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;31;Toneladas;40,00 ;2,843461732;113,74 ;1.290,32;3.668,98
13;Amazonas;2022;Floresta Natural;PFNM;5.4 - Outras Fibras;5 - Fibras;Fibras; Não especificado; Não especificada;8;Toneladas;28,00 ;1,04819185;29,35 ;3.500,00;3.668,67
13;Amazonas;2022;Floresta Natural;PFNM;8.7 - Tucum (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Tucum;28;Toneladas;98,00 ;1,04819185;102,72 ;3.500,00;3.668,67
41;Paraná;2016;Floresta Natural;PFNM;1.8 - Pinhão;1 - Alimentícios;Alimentícios;Fruto/semente;Pinhão;3183;Toneladas;8.262,00 ;1,413199631;11.675,86 ;2.595,66;3.668,19
23;Ceará;2023;Floresta Natural;PFNM;8.1 - Babaçu (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Babaçu;69;Toneladas;253,00 ;1;253,00 ;3.666,67;3.666,67
13;Amazonas;2021;Floresta Natural;PFNM;1.3 - Castanha-do-pará;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-do-pará;11737;Toneladas;38.549,00 ;1,116013764;43.021,21 ;3.284,40;3.665,44
11;Rondônia;2017;Floresta Natural;PFNM;3.2 - Hevea (látex coagulado);3 - Borrachas;Borrachas;Exudatos;Hevea;143;Toneladas;380,00 ;1,376028681;522,89 ;2.657,34;3.656,58
31;Minas Gerais;2004;Floresta Natural;PFNM;2.3 - Urucum (semente);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Fruto/semente;Urucum;70;Toneladas;90,00 ;2,843461732;255,91 ;1.285,71;3.655,88
23;Ceará;2011;Floresta Natural;PFNM;8.8 - Outros Oleaginosos;8 - Oleaginosos;Oleaginosos; Não especificado; Não especificada;6;Toneladas;11,00 ;1,993523839;21,93 ;1.833,33;3.654,79
25;Paraíba;2012;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;89;Toneladas;172,00 ;1,890495089;325,17 ;1.932,58;3.653,54
13;Amazonas;2010;Floresta Natural;PFNM;5.4 - Outras Fibras;5 - Fibras;Fibras; Não especificado; Não especificada;331;Toneladas;567,00 ;2,132474426;1.209,11 ;1.712,99;3.652,91
31;Minas Gerais;2022;Floresta Natural;PFNM;8.1 - Babaçu (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Babaçu;60;Toneladas;209,00 ;1,04819185;219,07 ;3.483,33;3.651,20
25;Paraíba;2006;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;49;Toneladas;69,00 ;2,58881797;178,63 ;1.408,16;3.645,48
29;Bahia;2018;Floresta Natural;PFNM;8.1 - Babaçu (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Babaçu;13;Toneladas;36,00 ;1,316055638;47,38 ;2.769,23;3.644,46
17;Tocantins;2019;Floresta Natural;PFNM;8.1 - Babaçu (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Babaçu;411;Toneladas;1.166,00 ;1,283518088;1.496,58 ;2.836,98;3.641,32
27;Alagoas;2016;Floresta Natural;PFNM;1.10 - Outros Alimentícios;1 - Alimentícios;Alimentícios; Não especificado; Não especificada;80;Toneladas;206,00 ;1,413199631;291,12 ;2.575,00;3.638,99
43;Rio Grande do Sul;2008;Floresta Natural;PFNM;1.8 - Pinhão;1 - Alimentícios;Alimentícios;Fruto/semente;Pinhão;696;Toneladas;1.083,00 ;2,336720672;2.530,67 ;1.556,03;3.636,02
13;Amazonas;2004;Floresta Natural;PFNM;5.3 - Piaçava;5 - Fibras;Fibras;Folha;Piaçava;8735;Toneladas;11.158,00 ;2,843461732;31.727,35 ;1.277,39;3.632,21
26;Pernambuco;2022;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;460;Toneladas;1.592,00 ;1,04819185;1.668,72 ;3.460,87;3.627,66
29;Bahia;2016;Floresta Natural;PFNM;8.6 - Pequi (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Pequi;224;Toneladas;575,00 ;1,413199631;812,59 ;2.566,96;3.627,63
43;Rio Grande do Sul;2006;Floresta Natural;PFNM;1.8 - Pinhão;1 - Alimentícios;Alimentícios;Fruto/semente;Pinhão;671;Toneladas;940,00 ;2,58881797;2.433,49 ;1.400,89;3.626,66
50;Mato Grosso do Sul;2020;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;125;Toneladas;367,00;1,235121696;453,29 ;2.936,00;3.626,32
23;Ceará;2016;Floresta Natural;PFNM;1.10 - Outros Alimentícios;1 - Alimentícios;Alimentícios; Não especificado; Não especificada;204;Toneladas;523,00 ;1,413199631;739,10 ;2.563,73;3.623,06
41;Paraná;1998;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;1439;Toneladas;1.129,00;4,615840291;5.211,28 ;784,57;3.621,46
11;Rondônia;2016;Floresta Natural;PFNM;3.2 - Hevea (látex coagulado);3 - Borrachas;Borrachas;Exudatos;Hevea;155;Toneladas;397,00 ;1,413199631;561,04 ;2.561,29;3.619,61
11;Rondônia;2018;Floresta Natural;PFNM;3.2 - Hevea (látex coagulado);3 - Borrachas;Borrachas;Exudatos;Hevea;134;Toneladas;368,00 ;1,316055638;484,31 ;2.746,27;3.614,24
29;Bahia;2007;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;172;Toneladas;250,00 ;2,48649349;621,62 ;1.453,49;3.614,09
13;Amazonas;2014;Floresta Natural;PFNM;1.3 - Castanha-do-pará;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-do-pará;12901;Toneladas;27.822,00 ;1,675833333;46.625,04 ;2.156,58;3.614,06
23;Ceará;2017;Floresta Natural;PFNM;1.10 - Outros Alimentícios;1 - Alimentícios;Alimentícios; Não especificado; Não especificada;256;Toneladas;672,00 ;1,376028681;924,69 ;2.625,00;3.612,08
29;Bahia;2012;Floresta Natural;PFNM;5.3 - Piaçava;5 - Fibras;Fibras;Folha;Piaçava;55545;Toneladas;106.105,00 ;1,890495089;200.590,98 ;1.910,25;3.611,32
27;Alagoas;2012;Floresta Natural;PFNM;1.5 - Mangaba (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Mangaba;33;Toneladas;63,00 ;1,890495089;119,10 ;1.909,09;3.609,13
13;Amazonas;1995;Floresta Natural;PFNM;8.2 - Copaíba (óleo);8 - Oleaginosos;Oleaginosos;Exudatos;Copaíba;37;Toneladas;24,00 ;5,563116526;133,51 ;648,65;3.608,51
11;Rondônia;2016;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;179;Toneladas;457,00 ;1,413199631;645,83 ;2.553,07;3.608,00
11;Rondônia;2017;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;169;Toneladas;443,00 ;1,376028681;609,58 ;2.621,30;3.606,99
11;Rondônia;2019;Floresta Natural;PFNM;1.6 - Palmito;1 - Alimentícios;Alimentícios;Palmito;Palmito;152;Toneladas;427,00 ;1,283518088;548,06 ;2.809,21;3.605,67
41;Paraná;1998;Floresta Natural;PFNM;2.4 - Outros Aromáticos, medicinais, tóxicos e corantes;2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes; Não especificado; Não especificada;770;Toneladas;601,00 ;4,615840291;2.774,12 ;780,52;3.602,75
42;Santa Catarina;2010;Floresta Natural;PFNM;1.8 - Pinhão;1 - Alimentícios;Alimentícios;Fruto/semente;Pinhão;1799;Toneladas;3.038,00 ;2,132474426;6.478,46 ;1.688,72;3.601,14
22;Piauí;1995;Floresta Natural;PFNM;2.3 - Urucum (semente);2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes;Fruto/semente;Urucum;17;Toneladas;11,00 ;5,563116526;61,19 ;647,06;3.599,66
22;Piauí;2009;Floresta Natural;PFNM;2.4 - Outros Aromáticos, medicinais, tóxicos e corantes;2 - Aromáticos, medicinais, tóxicos e corantes;Aromáticos, medicinais, tóxicos e corantes; Não especificado; Não especificada;189;Toneladas;303,00 ;2,243257776;679,71 ;1.603,17;3.596,33
13;Amazonas;2014;Floresta Natural;PFNM;1.10 - Outros Alimentícios;1 - Alimentícios;Alimentícios; Não especificado; Não especificada;48;Toneladas;103,00 ;1,675833333;172,61 ;2.145,83;3.596,06
24;Rio Grande do Norte;2005;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;29;Toneladas;39,00 ;2,673339993;104,26 ;1.344,83;3.595,18
15;Pará;2019;Floresta Natural;PFNM;1.7 - Pequi (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Pequi;5;Toneladas;14,00 ;1,283518088;17,97 ;2.800,00;3.593,85
23;Ceará;2008;Floresta Natural;PFNM;5.4 - Outras Fibras;5 - Fibras;Fibras; Não especificado; Não especificada;67;Toneladas;103,00 ;2,336720672;240,68 ;1.537,31;3.592,27
12;Acre;1997;Floresta Natural;PFNM;3.2 - Hevea (látex coagulado);3 - Borrachas;Borrachas;Exudatos;Hevea;3188;Toneladas;2.431,00 ;4,710526685;11.451,29 ;762,55;3.592,00
24;Rio Grande do Norte;2007;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;18;Toneladas;26,00 ;2,48649349;64,65 ;1.444,44;3.591,60
11;Rondônia;2021;Floresta Natural;PFNM;3.2 - Hevea (látex coagulado);3 - Borrachas;Borrachas;Exudatos;Hevea;143;Toneladas;460,00 ;1,116013764;513,37 ;3.216,78;3.589,97
25;Paraíba;2019;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;502;Toneladas;1.404,00 ;1,283518088;1.802,06 ;2.796,81;3.589,76
21;Maranhão;2011;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;5;Toneladas;9,00 ;1,993523839;17,94 ;1.800,00;3.588,34
14;Roraima;2019;Floresta Natural;PFNM;1.1 - Açaí (fruto);1 - Alimentícios;Alimentícios;Fruto/semente;Açaí;39;Toneladas;109,00 ;1,283518088;139,90 ;2.794,87;3.587,27
23;Ceará;2017;Floresta Natural;PFNM;8.6 - Pequi (amêndoa);8 - Oleaginosos;Oleaginosos;Fruto/semente;Pequi;206;Toneladas;537,00 ;1,376028681;738,93 ;2.606,80;3.587,03
27;Alagoas;2020;Floresta Natural;PFNM;1.10 - Outros Alimentícios;1 - Alimentícios;Alimentícios; Não especificado; Não especificada;329;Toneladas;955,00 ;1,235121696;1.179,54 ;2.902,74;3.585,23
41;Paraná;2011;Floresta Plantada;PFNM;2.3 - Resina;2 - Outros produtos; Não especificado;Exudatos; Não especificada;2445;Toneladas;4.395,00;1,993523839;8.761,54 ;1.797,55;3.583,45
16;Amapá;2005;Floresta Natural;PFNM;3.3 - Hevea (látex líquido);3 - Borrachas;Borrachas;Exudatos;Hevea;50;Toneladas;67,00 ;2,673339993;179,11 ;1.340,00;3.582,28
43;Rio Grande do Sul;2005;Floresta Natural;PFNM;1.8 - Pinhão;1 - Alimentícios;Alimentícios;Fruto/semente;Pinhão;632;Toneladas;846,00 ;2,673339993;2.261,65 ;1.338,61;3.578,55
29;Bahia;2021;Floresta Natural;PFNM;1.10 - Outros Alimentícios;1 - Alimentícios;Alimentícios; Não especificado; Não especificada;315;Toneladas;1.010,00 ;1,116013764;1.127,17 ;3.206,35;3.578,33
23;Ceará;1999;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;6;Toneladas;5,00 ;4,293959328;21,47 ;833,33;3.578,30
33;Rio de Janeiro;1999;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;6;Toneladas;5,00 ;4,293959328;21,47 ;833,33;3.578,30
41;Paraná;1999;Floresta Natural;PFNM;3.2 - Hevea (látex coagulado);3 - Borrachas;Borrachas;Exudatos;Hevea;6;Toneladas;5,00 ;4,293959328;21,47 ;833,33;3.578,30
21;Maranhão;2013;Floresta Natural;PFNM;5.3 - Piaçava;5 - Fibras;Fibras;Folha;Piaçava;7;Toneladas;14,00 ;1,786224503;25,01 ;2.000,00;3.572,45
12;Acre;2013;Floresta Natural;PFNM;5.3 - Piaçava;5 - Fibras;Fibras;Folha;Piaçava;1;Toneladas;2,00 ;1,786224503;3,57 ;2.000,00;3.572,45
14;Roraima;2013;Floresta Natural;PFNM;1.2 - Castanha-de-caju;1 - Alimentícios;Alimentícios;Fruto/semente;Castanha-de-caju;1;Toneladas;2,00 ;1,786224503;3,57 ;2.000,00;3.572,45
17;Tocantins;2013;Floresta Natural;PFNM;5.4 - Outras Fibras;5 - Fibras;Fibras; Não especificado; Não especificada;1;Toneladas;2,00 ;1,786224503;3,57 ;2.000,00;3.572,45
