Ano;UF;Especie;Grupo;Uso;Quantidade
2014;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7082621
2018;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7032126
2018;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7010573
2017;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;7010218
2013;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6960902
2021;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6937674
2014;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;6859285
2020;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6829399
2021;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6782682
2019;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;6698313
2017;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6653336
2014;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;6600392
2015;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;6592274
2016;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;6578964
2018;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;6531407
2023;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6527636
2013;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;6524082
2020;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;6519681
2019;Paraná;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6516744
2018;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;6513804
2013;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;6480436
2022;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6477262
2022;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6386835
2013;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6378289
2015;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6351684
2022;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;6336852
2021;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6331723
2020;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6293952
2020;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;6282172
2023;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;6264036
2022;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;6247157
2020;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6236722
2021;Santa Catarina;Eucalipto;1.2 - Lenha;Madeira para combustível;6231289
2018;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6200390
2019;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6197618
2022;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6187717
2016;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;6164880
2019;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;6134613
2015;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6107054
2018;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6106193
2021;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;6103107
2013;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6092473
2016;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6084604
2017;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6078503
2018;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6067983
2013;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;6063135
2014;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6032262
2016;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6030243
2013;Santa Catarina;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6028084
2020;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6025166
2019;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5999281
2015;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;5969756
2023;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;5967990
2017;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5962911
2023;Espírito Santo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5956577
2016;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;5808664
2021;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;5781617
2022;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5767732
2021;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5699440
2015;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;5691018
2016;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5635814
2013;Minas Gerais;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5632808
2016;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5586054
2014;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5566167
2019;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5538482
2017;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5486519
2014;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;5455859
2023;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5441983
2020;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;5411451
2019;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5406346
2022;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;5397164
2023;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5333683
2022;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5321070
2019;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5278881
2019;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;5222524
2014;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;5199326
2021;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5174202
2014;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5161681
2017;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;5096855
2018;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;5094242
2020;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5084112
2013;Espírito Santo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5047176
2018;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;5041679
2023;Minas Gerais;Eucalipto;1.2 - Lenha;Madeira para combustível;5015546
2014;Espírito Santo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4973230
2017;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4962085
2023;Mato Grosso;Eucalipto;1.2 - Lenha;Madeira para combustível;4937285
2016;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4872513
2015;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4837676
2018;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4798029
2019;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4745333
2017;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4740002
2019;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;4714660
2022;Espírito Santo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4693444
2023;São Paulo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4674399
2013;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;4626529
2021;Espírito Santo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4618091
2015;Paraná;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4576669
2015;Espírito Santo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4536196
2023;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;4524232
2016;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4476199
2017;Pará;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4474162
2015;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;4464782
2021;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;4463818
2016;Pará;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4460257
2013;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;4458379
2022;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;4455869
2015;Santa Catarina;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4384093
2014;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;4328050
2015;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4270135
2014;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4245027
2017;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;4218066
2016;Espírito Santo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4181823
2021;Maranhão;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4176738
2015;Pará;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4166394
2015;Minas Gerais;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4131924
2013;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4001195
2020;São Paulo;Eucalipto;1.2 - Lenha;Madeira para combustível;3972773
2013;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3959761
2014;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3945084
2016;Minas Gerais;Eucalipto;1.1 - Carvão vegetal;Madeira para combustível;3939456
2022;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3926975
2023;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3924004
2023;Maranhão;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;3798255
2017;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3796147
2022;Maranhão;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;3660292
2016;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3544629
2018;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3517879
2015;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;3430840
2020;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3384344
2021;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3366991
2020;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;3355165
2014;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;3331219
2018;Maranhão;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;3314621
2016;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;3287605
2021;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;3269949
2019;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;3258408
2023;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;3165632
2023;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3134103
2018;Espírito Santo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;3114221
2022;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;3084655
2019;Rio Grande do Sul;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3059587
2020;Espírito Santo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;3000826
2017;Espírito Santo;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2975413
2018;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;2888121
2022;Mato Grosso;Eucalipto;1.2 - Lenha;Madeira para combustível;2885060
2022;Pará;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2864939
2015;Paraná;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2852270
2017;Goiás;Eucalipto;1.2 - Lenha;Madeira para combustível;2819066
2018;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2776837
2023;Pará;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2650860
2022;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2650212
2018;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2609256
2023;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2595514
2017;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2514219
2021;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2487708
2013;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2425602
2014;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2409574
2017;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2394951
2018;Pará;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2378273
2021;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2297508
2019;Maranhão;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2293525
2020;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2280658
2019;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2253678
2016;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2248235
2022;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2219836
2020;Maranhão;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2218712
2020;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2170808
2021;Pará;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2163972
2015;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2161485
2014;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2050206
2014;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2048228
2014;Maranhão;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2010118
2017;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;2008538
2015;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1990618
2016;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1924280
2015;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1895715
2020;Pará;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1890315
2016;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1889218
2019;Rio Grande do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1885034
2013;Santa Catarina;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1870847
2013;Rio Grande do Sul;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1841935
2021;Mato Grosso;Eucalipto;1.2 - Lenha;Madeira para combustível;1804938
2021;Espírito Santo;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1798719
2019;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;1788930
