Ano;UF;Especie;Grupo;Uso;Quantidade
2021;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;1443632
2023;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1424567
2018;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1392245
2022;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1337861
2014;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1328015
2013;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;1299588
2019;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1204176
2013;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1183660
2014;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1094519
2013;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1081838
2013;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1039688
2020;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;1005444
2023;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;966111
2021;Paraná;Pinus;1.2 - Lenha;Madeira para combustível;928675
2022;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;920400
2016;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;880707
2015;Santa Catarina;Pinus;1.2 - Lenha;Madeira para combustível;866952
2019;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;790671
2015;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;780406
2018;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;715907
2013;Mato Grosso do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;660000
2013;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;659338
2019;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;650745
2020;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;636125
2013;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;613485
2015;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;542190
2016;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;495883
2014;Mato Grosso do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;495000
2021;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;482308
2016;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;481491
2017;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;477510
2018;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;457576
2013;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;450635
2018;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;444083
2023;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;433134
2020;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;402005
2017;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;395571
2022;Mato Grosso do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;377400
2014;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;375552
2016;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;373216
2015;Mato Grosso do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;365000
2019;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;356955
2023;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;351526
2023;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;339050
2014;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;333303
2020;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;332800
2021;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;308200
2013;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;292075
2018;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;285997
2015;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;279756
2022;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;279450
2022;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;273182
2021;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;266384
2021;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;261506
2017;Minas Gerais;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;255575
2015;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;251720
2014;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;251084
2019;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;245211
2017;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;240872
2016;Mato Grosso do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;235000
2020;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;231230
2014;São Paulo;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;224877
2016;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;222327
2022;São Paulo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;219485
2015;Rio Grande do Sul;Pinus;1.2 - Lenha;Madeira para combustível;217773
2017;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;207579
2016;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;166401
2021;Distrito Federal;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;160000
2017;Mato Grosso do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;158000
2014;Minas Gerais;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;150644
2020;Distrito Federal;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;150000
2022;Distrito Federal;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;150000
2017;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;141587
2017;Distrito Federal;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;140500
2018;Distrito Federal;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;140000
2014;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;134415
2018;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;132525
2013;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;130000
2021;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;130000
2019;Distrito Federal;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;130000
2015;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;129317
2019;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;122615
2014;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;115927
2016;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;109000
2015;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;106801
2019;Mato Grosso do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;105671
2022;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;105375
2013;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;102817
2018;Mato Grosso do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;102481
2023;Distrito Federal;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;100742
2023;Minas Gerais;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;97726
2020;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;90471
2020;Mato Grosso do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;90000
2023;Goiás;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;81155
2021;Rondônia;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;77861
2019;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;76220
2021;Mato Grosso do Sul;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;73800
2015;Distrito Federal;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;70627
2016;Distrito Federal;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;68175
2020;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;64450
2018;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;58374
2019;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;53324
2013;Amapá;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;50834
2014;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;50412
2022;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;49835
2022;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;49340
2014;Distrito Federal;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;43023
2020;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;40033
2013;Goiás;Pinus;1.2 - Lenha;Madeira para combustível;40000
2021;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;39700
2017;Minas Gerais;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;38365
2017;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;38363
2021;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;38270
2020;Rondônia;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;36973
2016;Minas Gerais;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;34018
2016;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;32608
2013;Amapá;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;32469
2018;Minas Gerais;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;32061
2015;Minas Gerais;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;31664
2018;Bahia;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;30233
2016;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;30173
2014;Mato Grosso do Sul;Pinus;1.2 - Lenha;Madeira para combustível;30000
2016;Bahia;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;30000
2013;Mato Grosso do Sul;Pinus;1.2 - Lenha;Madeira para combustível;30000
2014;Goiás;Pinus;1.2 - Lenha;Madeira para combustível;29728
2017;Goiás;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;27000
2018;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;25400
2016;Goiás;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;25000
2020;Minas Gerais;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;21500
2019;Minas Gerais;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;21450
2015;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;20480
2015;Mato Grosso do Sul;Pinus;1.2 - Lenha;Madeira para combustível;20000
2013;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;20000
2014;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;20000
2017;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;18400
2021;Distrito Federal;Pinus;1.2 - Lenha;Madeira para combustível;18000
2015;Goiás;Pinus;1.2 - Lenha;Madeira para combustível;17464
2018;Bahia;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;17250
2019;Bahia;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;17200
2016;Distrito Federal;Pinus;1.2 - Lenha;Madeira para combustível;16976
2023;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;16900
2017;Mato Grosso do Sul;Pinus;1.2 - Lenha;Madeira para combustível;16500
2013;Mato Grosso;Pinus;1.2 - Lenha;Madeira para combustível;16341
2018;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;15922
2023;Minas Gerais;Pinus;1.2 - Lenha;Madeira para combustível;15800
2022;Minas Gerais;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;15165
2020;Distrito Federal;Pinus;1.2 - Lenha;Madeira para combustível;15000
2013;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;14200
2021;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;13854
2021;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;13200
2016;Goiás;Pinus;1.2 - Lenha;Madeira para combustível;13148
2022;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;13114
2023;Rio Grande do Sul;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;12815
2015;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;12500
2013;São Paulo;Pinus;1.1 - Carvão vegetal;Madeira para combustível;11818
2023;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;11570
2015;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11520
2019;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;11360
2020;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11063
2019;Mato Grosso do Sul;Pinus;1.2 - Lenha;Madeira para combustível;11000
2018;Distrito Federal;Pinus;1.2 - Lenha;Madeira para combustível;11000
2017;Distrito Federal;Pinus;1.2 - Lenha;Madeira para combustível;10933
2018;Mato Grosso do Sul;Pinus;1.2 - Lenha;Madeira para combustível;10800
2019;Distrito Federal;Pinus;1.2 - Lenha;Madeira para combustível;10250
2022;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;10200
2016;Mato Grosso do Sul;Pinus;1.2 - Lenha;Madeira para combustível;10000
2017;Bahia;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;10000
2016;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;9500
2023;Goiás;Pinus;1.2 - Lenha;Madeira para combustível;9247
2015;Tocantins;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;9000
2020;Mato Grosso do Sul;Pinus;1.2 - Lenha;Madeira para combustível;8900
2016;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;7968
2021;Mato Grosso do Sul;Pinus;1.2 - Lenha;Madeira para combustível;7209
2017;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;6840
2018;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;6284
2017;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6003
2020;São Paulo;Pinus;1.2 - Lenha;Madeira para combustível;5900
2021;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;5592
2020;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;4976
2013;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;4310
2014;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;4269
2019;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4219
2022;Distrito Federal;Pinus;1.2 - Lenha;Madeira para combustível;4213
2013;Minas Gerais;Pinus;1.1 - Carvão vegetal;Madeira para combustível;4176
2014;Amapá;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3105
2023;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;2583
2019;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;2406
2023;Rondônia;Pinus;1.2 - Lenha;Madeira para combustível;2181
2020;Espírito Santo;Pinus;1.2 - Lenha;Madeira para combustível;2167
2018;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1920
2022;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1697
2023;Distrito Federal;Pinus;1.2 - Lenha;Madeira para combustível;1685
2015;Distrito Federal;Pinus;1.2 - Lenha;Madeira para combustível;1554
2022;Espírito Santo;Pinus;1.2 - Lenha;Madeira para combustível;1428
2023;Mato Grosso do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1375
2017;Espírito Santo;Pinus;1.2 - Lenha;Madeira para combustível;1066
2019;Espírito Santo;Pinus;1.2 - Lenha;Madeira para combustível;955
2015;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;950
2017;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;908
2023;Espírito Santo;Pinus;1.2 - Lenha;Madeira para combustível;877
2016;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;875
2014;Minas Gerais;Pinus;1.1 - Carvão vegetal;Madeira para combustível;795
2014;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;740
2016;Espírito Santo;Pinus;1.2 - Lenha;Madeira para combustível;719
2013;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;710
2014;São Paulo;Pinus;1.1 - Carvão vegetal;Madeira para combustível;600
2022;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;568
2021;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;555
2020;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;537
2018;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;520
2019;Paraná;Pinus;1.1 - Carvão vegetal;Madeira para combustível;500
2015;Espírito Santo;Pinus;1.2 - Lenha;Madeira para combustível;500
2021;Espírito Santo;Pinus;1.2 - Lenha;Madeira para combustível;458
2023;Rondônia;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;317
2014;Espírito Santo;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;174
2018;Espírito Santo;Pinus;1.2 - Lenha;Madeira para combustível;157
2015;São Paulo;Pinus;1.1 - Carvão vegetal;Madeira para combustível;135
2015;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;72
2016;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;68
2017;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;63
2014;Distrito Federal;Pinus;1.2 - Lenha;Madeira para combustível;52
2018;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;30
2021;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;28
2019;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;24
2020;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;23
2022;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;20
2023;Santa Catarina;Pinus;1.1 - Carvão vegetal;Madeira para combustível;19
2016;Rio de Janeiro;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5
2014;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;2
2023;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
2017;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
2021;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
2022;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
2016;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
2018;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
2016;São Paulo;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
2015;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
2020;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
2013;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
2019;Rio Grande do Sul;Pinus;1.1 - Carvão vegetal;Madeira para combustível;1
