UF;Ano;Especie;Grupo;Uso;Quantidade;Valor_Corrigido_IPCA_Mil_R$;Preco_Medio_Corrigido_IPCA
Rio de Janeiro;2013;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;223639;49366.034051999995;220.741566
Goiás;2019;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;122615;26868.149459999997;219.123642
Minas Gerais;2005;Eucalipto;2 - Outros produtos; Não especificado;32511;7094.554716;218.220126
Mato Grosso;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;101522;22135.501134;218.04152399999998
Goiás;2022;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;385219;83674.784856;217.21155
Amapá;2013;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;32469;7007.249856;215.81425199999998
Rondônia;2020;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;36973;7942.725108000001;214.826688
Amapá;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;49985;10720.47999;214.469484
Amapá;2014;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;387791;82879.92190799999;213.723558
Rio de Janeiro;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;240838;51075.423288000005;212.074116
Goiás;2013;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;644320;136555.09691999998;211.937538
Goiás;2018;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;132525;27705.498671999998;209.058894
Mato Grosso;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;167154;34842.991409999995;208.449546
Alagoas;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;35850;7472.529078;208.43904
Mato Grosso;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;130620;27085.539612;207.356922
Amapá;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;229327;47013.61458;205.003578
Amapá;2015;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;926497;189937.952988;205.003578
Rio de Janeiro;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;214175;43618.201451999994;203.65881
Amapá;2014;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3105;628.542462;202.429608
Goiás;2017;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;141587;28655.787384;202.38758399999998
Alagoas;2022;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;378370;76125.856146;201.1899
Goiás;2023;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;441950;88555.074;200.370432
Espírito Santo;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1080282;213997.596504;198.09063
Goiás;2014;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;115927;22860.026412;197.19761999999997
Amapá;2013;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;50834;10017.334422;197.061042
Paraná;1998;Eucalipto;2 - Outros produtos; Não especificado;320;63.046505999999994;197.008512
Goiás;2016;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;109000;21361.975872;195.97892399999998
Distrito Federal;2016;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;68175;13360.879427999998;195.97892399999998
Amapá;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;241425;47059.294667999995;194.917818
Amapá;2016;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;969915;189055.238868;194.917818
Distrito Federal;2014;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;43023;8333.065032;193.68861600000002
Distrito Federal;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5228;1012.35816;193.646592
Mato Grosso do Sul;2014;Eucalipto;2 - Outros produtos; Não especificado;1700;327.48252599999995;192.63801600000002
Goiás;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;482253;92484.16041000001;191.776524
Goiás;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;566454;108533.829912;191.597922
Amapá;2017;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1010091;191878.989018;189.958986
Amapá;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;53253;10103.683235999999;189.727854
Goiás;2021;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;467751;88094.585514;188.341062
Espírito Santo;2013;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;14200;2668.534506;187.920822
Mato Grosso;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;141824;26555.301792;187.237932
Espírito Santo;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1194528;222615.57374999998;186.36593399999998
Amapá;2018;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1074392;197124.13053;183.47678399999998
Amapá;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;59874;10980.986766;183.40324199999998
Mato Grosso;2005;Eucalipto;2 - Outros produtos; Não especificado;8135;1485.75852;182.636304
Mato Grosso;2020;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;141932;25796.663532000002;181.75379999999998
Goiás;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;467224;84462.430182;180.77674199999998
Amapá;2019;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1132841;204690.110478;180.682188
Goiás;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;525850;94862.487678;180.398526
Amapá;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;63497;11430.927227999999;180.02031
Mato Grosso;2023;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;49109;8796.6738;179.1273
Amapá;2020;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1023224;181050.26571;176.942052
Distrito Federal;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6235;1098.706974;176.21713799999998
Distrito Federal;2015;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;70627;12442.896666;176.175114
Goiás;2015;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;106801;18815.699688;176.175114
Mato Grosso;2021;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;130701;22903.300626;175.22957399999999
Mato Grosso do Sul;2019;Eucalipto;2 - Outros produtos; Não especificado;3386;593.3263499999999;175.22957399999999
Paraná;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5566167;969790.495512;174.231504
Amapá;2020;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;59179;10305.692604;174.14745599999998
Goiás;2020;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;511205;88649.428386;173.412036
Mato Grosso;2022;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;125366;21728.372622;173.31748199999998
Mato Grosso do Sul;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;172600;29913.113945999998;173.306976
Amapá;2021;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;934947;161286.90381;172.50851999999998
Alagoas;2020;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;147640;25354.171824;171.731076
Rio Grande do Sul;2022;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8076966;1386559.1450160001;171.66804
Rio de Janeiro;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;220063;37743.183216;171.51045
Goiás;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;454335;77552.728536;170.690982
Mato Grosso do Sul;2020;Eucalipto;2 - Outros produtos; Não especificado;3075;519.04893;168.79990199999997
Mato Grosso do Sul;2020;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;90000;15182.136552;168.694842
Goiás;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;559296;92976.83928;166.236438
Paraná;2013;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6092473;1012257.081774;166.15239
São Paulo;2023;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;433134;71956.6446;166.13137799999998
Santa Catarina;2013;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6028084;990507.1928639999;164.31384
Amapá;2022;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1002764;164344.317906;163.8936
Amapá;2023;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;989026;161041.221;162.832494
Bahia;2013;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;11182710;1817261.6291639998;162.506808
Mato Grosso do Sul;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;146850;23596.497012;160.68927
Rio de Janeiro;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;216962;34841.352474;160.58420999999998
Santa Catarina;2013;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1870847;300257.193552;160.489656
Sergipe;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;56;8.909088;159.071346
Espírito Santo;2013;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5047176;802696.3266599999;159.039828
Alagoas;2021;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;414273;65473.854264;158.04175800000002
Rio Grande do Sul;2023;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7820786;1235536.0674;157.978722
Rondônia;2023;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;8909;1403.6016;157.547976
Pará;2013;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1561140;245798.050314;157.44291600000003
Amapá;2021;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;45096;7095.878471999999;157.348362
Minas Gerais;2013;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6378289;992749.7405879999;155.64639
Mato Grosso;2022;Eucalipto;1.2 - Lenha;Madeira para combustível;2885060;448308.680586;155.39424599999998
Mato Grosso do Sul;2021;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;73800;11335.574772;153.59771999999998
Paraíba;2014;Eucalipto;1.2 - Lenha;Madeira para combustível;152232;23317.793844;153.17748
Amapá;2022;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;46190;7055.5879620000005;152.74673399999998
Mato Grosso do Sul;2021;Eucalipto;2 - Outros produtos; Não especificado;3071;467.82167400000003;152.337
Mato Grosso do Sul;2019;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;105671;16093.920774;152.30548199999998
Paraná;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4576669;696108.712236;152.095362
Rio de Janeiro;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;210138;31841.280125999998;151.52803799999998
Piauí;2022;Eucalipto;1.2 - Lenha;Madeira para combustível;99300;15014.177129999998;151.202352
Mato Grosso;2013;Pinus;1.2 - Lenha;Madeira para combustível;16341;2452.73076;150.099222
Santa Catarina;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2050206;306612.04182;149.55291
Mato Grosso do Sul;2013;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;660000;98521.895574;149.279754
Bahia;2015;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;11126490;1655297.634666;148.77546600000002
Pernambuco;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6515;964.1566320000001;147.987516
Maranhão;2018;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;3314621;489809.98607399996;147.77739599999998
Paraná;2021;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5699440;841764.999366;147.69334800000001
Amapá;2023;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;50162;7383.6168;147.199566
Mato Grosso do Sul;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;173950;25602.565182000002;147.178554
Espírito Santo;2015;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11520;1694.502234;147.094506
Paraná;2014;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;12589717;1848126.7968300001;146.80033799999998
Paraná;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4962085;723495.763542;145.802268
Espírito Santo;2014;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4973230;723281.0944439999;145.434558
Mato Grosso do Sul;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;125980;18284.16963;145.14039
Minas Gerais;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4245027;614940.7010039999;144.856728
Paraná;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4872513;705399.399168;144.77268
Tocantins;2015;Eucalipto;1.2 - Lenha;Madeira para combustível;2300;331.537842;144.14231999999998
Paraná;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4798029;690845.626476;143.98473
Rio Grande do Sul;2023;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3134103;451000.5174;143.900682
Rio Grande do Sul;2023;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3924004;563806.5912;143.68005599999998
Paraná;2014;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;3331219;478512.957816;143.64853799999997
Santa Catarina;2023;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;10236722;1470112.9848;143.606514
Maranhão;2019;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2293525;329067.04092;143.48044199999998
Mato Grosso do Sul;2022;Eucalipto;2 - Outros produtos; Não especificado;884;126.639324;143.259816
Mato Grosso do Sul;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;428785;61245.7776;142.839576
Santa Catarina;2014;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6032262;859969.407444;142.56642
Pernambuco;2020;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;7020;1000.4653679999999;142.51389
Bahia;2016;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;13617123;1938636.0708779998;142.366806
Maranhão;2014;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;2010118;285496.799358;142.03061399999999
Distrito Federal;2020;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4500;637.1258640000001;141.589362
Mato Grosso do Sul;2023;Eucalipto;2 - Outros produtos; Não especificado;950;134.4768;141.55784400000002
Rio Grande do Sul;2022;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3926975;553230.600228;140.874954
Distrito Federal;2021;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5200;731.627334;140.696352
Mato Grosso do Sul;2013;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;107049;15059.77317;140.685846
Espírito Santo;2023;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;16900;2376.4572;140.62281
Rio de Janeiro;2020;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;293894;41269.469586;140.423196
Paraná;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5278881;741099.690684;140.39167799999998
Santa Catarina;2017;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;7922963;1111357.9630079998;140.265606
Piauí;2023;Eucalipto;1.2 - Lenha;Madeira para combustível;110366;15449.073;139.981944
Sergipe;2023;Eucalipto;1.2 - Lenha;Madeira para combustível;88646;12365.562;139.498668
Espírito Santo;2023;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1615822;223896.5178;138.56363399999998
Santa Catarina;2021;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;9862430;1364378.6676959998;138.343008
Mato Grosso do Sul;2018;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;102481;14148.64032;138.059346
Santa Catarina;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1990618;274791.174852;138.038334
Pernambuco;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6015;829.585278;137.922768
Distrito Federal;2022;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;5000;688.2690719999999;137.64961200000002
Minas Gerais;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4131924;566982.2293139999;137.21886600000002
Mato Grosso do Sul;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;451867;61574.920074;136.26281999999998
Rio Grande do Sul;2019;Pinus;1.2 - Lenha;Madeira para combustível;245211;33193.791048;135.36981
Distrito Federal;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3685;497.585172;135.033618
Paraná;2013;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11240394;1515690.8073959998;134.84450999999999
Mato Grosso;2023;Eucalipto;1.2 - Lenha;Madeira para combustível;4937285;664609.5599999999;134.61337799999998
Rio Grande do Sul;2020;Pinus;1.2 - Lenha;Madeira para combustível;231230;31089.649368;134.455788
Minas Gerais;2018;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;457576;61327.35669;134.02504199999998
Espírito Santo;2023;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;5956577;798072.531;133.983018
Maranhão;2016;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1076576;143856.28364399998;133.625814
Alagoas;2023;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;561092;74975.0184;133.625814
Paraná;2020;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6293952;840171.8800319999;133.489236
Paraná;2023;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;14833542;1974237.0912;133.090008
Sergipe;2023;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6506;864.6437999999999;132.9009
Santa Catarina;2015;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6351684;843078.71163;132.732804
Espírito Santo;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1549480;204476.891208;131.965866
Santa Catarina;2022;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;10074427;1327893.294318;131.80827599999998
Distrito Federal;2020;Eucalipto;1.2 - Lenha;Madeira para combustível;266;35.03751;131.713722
Rio Grande do Sul;2021;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3366991;442892.953152;131.53512
Distrito Federal;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4300;565.5064619999999;131.514108
Maranhão;2015;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1268761;166628.143704;131.335506
Paraná;2020;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6829399;895626.918528;131.146398
Espírito Santo;2016;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;7968;1039.295544;130.43199
Maranhão;2023;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;3798255;494919.7998;130.305918
Distrito Federal;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4345;565.254318;130.095798
Espírito Santo;2015;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4536196;590040.587994;130.074786
Mato Grosso do Sul;2014;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;495000;64351.046526;130.00124399999999
Rio Grande do Sul;2022;Pinus;1.2 - Lenha;Madeira para combustível;273182;35471.733486;129.84365400000002
Tocantins;2022;Eucalipto;1.2 - Lenha;Madeira para combustível;81750;10614.758112;129.84365400000002
Santa Catarina;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1924280;249773.835894;129.80163
Distrito Federal;2020;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;150000;19464.287598000003;129.759606
Maranhão;2013;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;124395;16082.521764000001;129.286836
Tocantins;2013;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1840;236.448036;128.509392
Rio Grande do Sul;2014;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2409574;309091.006062;128.27826
Distrito Federal;2021;Eucalipto;1.2 - Lenha;Madeira para combustível;677;86.769054;128.162694
Distrito Federal;2019;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;130000;16653.53337;128.099658
Bahia;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;132209;16861.562675999998;127.53233399999999
Minas Gerais;2023;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;339050;43176.5082;127.34322599999999
Paraná;2022;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;14884887;1894859.544006;127.301202
Rio Grande do Sul;2019;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3059587;389095.26767399994;127.17513
São Paulo;2003;Eucalipto;2 - Outros produtos; Não especificado;16456;2091.019686;127.07007
Distrito Federal;2022;Eucalipto;1.2 - Lenha;Madeira para combustível;650;82.587666;127.07007
Rio Grande do Sul;2013;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2425602;307420.205364;126.744384
Distrito Federal;2021;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;160000;20260.526832;126.628818
Distrito Federal;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1963;247.9416;126.313638
Paraná;2021;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;6782682;855736.319418;126.166554
Espírito Santo;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1322717;166321.242432;125.746314
Piauí;2023;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;16611;2087.5422;125.67277200000001
Paraná;2013;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;4001195;501679.108056;125.378604
Mato Grosso do Sul;2018;Eucalipto;2 - Outros produtos; Não especificado;2858;358.10751600000003;125.294556
Paraná;2013;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;7633910;954872.301198;125.084436
Minas Gerais;2017;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;255575;31902.72972;124.832292
Espírito Santo;2018;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;1920;239.200608;124.580148
Rio Grande do Sul;2014;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3945084;491476.479312;124.580148
Rio Grande do Sul;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3517879;437791.995984;124.44357
Distrito Federal;2018;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;140000;17421.36438;124.44357
Minas Gerais;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4476199;556860.349686;124.401546
Santa Catarina;2020;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;9127097;1127402.4005220002;123.51904199999998
Paraná;2020;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8183550;1010695.858656;123.508536
Rio Grande do Sul;2021;Pinus;1.2 - Lenha;Madeira para combustível;261506;32265.585948;123.382464
Tocantins;2014;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;1600;197.18711399999998;123.245886
Mato Grosso do Sul;2014;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;8293047;1022068.897824;123.245886
Mato Grosso do Sul;2022;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;785126;96671.50531200001;123.13032
Distrito Federal;2017;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;140500;17265.465846;122.888682
Mato Grosso do Sul;2017;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;158000;19415.161541999998;122.878176
Rio Grande do Sul;2013;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3959761;486426.034992;122.846658
Espírito Santo;2017;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6003;737.2795619999999;122.81514
Paraná;2017;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;10829020;1328400.0407220002;122.668056
Paraná;2015;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;11190095;1369335.240906;122.37388800000001
Santa Catarina;2016;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6084604;744108.6931319999;122.28984
Paraná;2023;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;7848469;956858.1137999999;121.911624
São Paulo;2008;Eucalipto;2 - Outros produtos; Não especificado;16797;2044.9823939999999;121.743528
Goiás;2017;Pinus;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;27000;3278.743998;121.438854
Minas Gerais;2014;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;375552;45598.571946000004;121.417842
Bahia;2014;Eucalipto;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;12296942;1491720.6014579998;121.312782
Rio de Janeiro;2021;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;281918;34179.085752;121.23924000000001
Distrito Federal;2022;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;150000;18170.305601999997;121.13418
Rio Grande do Sul;2017;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3796147;459011.594544;120.913554
Rio Grande do Sul;2016;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;3544629;428401.964316;120.861024
Rio Grande do Sul;2022;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;2219836;268249.80306;120.84001199999999
Minas Gerais;2018;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;6200390;748974.9147419999;120.797988
Rio Grande do Sul;2015;Eucalipto;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;4270135;515002.01879999996;120.60888
Paraná;2020;Pinus;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;15118623;1822126.779162;120.52483199999999
