Cod_UF;UF;Ano;Tipo_Floresta;Tipo_Produto;Produto_Florestal_Codigo;Grupo;Uso;Parte_Planta;Especie;Quantidade;Unidade_Medida_PEVS;Valor_Producao_Nominal_Mil_R$;Fator_Correcao_IPCA;Valor_Corrigido_IPCA_Mil_R$;Preco_Medio_Nominal;Preco_Medio_Corrigido_IPCA
52;Goiás;2018;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;2888121;Metros cúbicos;128.882,00;1.38;178198.44;44,62;61.7
35;São Paulo;2016;Floresta Plantada;PFM;1.3.2.1 - Madeira em tora de eucalipto para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Eucalipto;7923350;Metros cúbicos;328.957,00;1.48;488404.93;41,52;61.63
50;Mato Grosso do Sul;2014;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;30000;Metros cúbicos;1.050,00;1.76;1848.66;35,00;61.61
43;Rio Grande do Sul;2014;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;2048228;Metros cúbicos;71.513,00;1.76;125907.96;34,91;61.47
31;Minas Gerais;2022;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;49340;Metros cúbicos;2.754,00;1.1;3032.78;55,82;61.47
33;Rio de Janeiro;2019;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;422095;Metros cúbicos;19.233,00;1.34;25935.0;45,57;61.43
42;Santa Catarina;2016;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;6578964;Metros cúbicos;272.246,00;1.48;404205.69;41,38;61.43
17;Tocantins;2020;Floresta Plantada;PFM;1.3.2.1 - Madeira em tora de eucalipto para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Eucalipto;75000;Metros cúbicos;3.547,00;1.29;4602.65;47,29;61.36
52;Goiás;2019;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;3258408;Metros cúbicos;148.071,00;1.34;199668.43;45,44;61.28
41;Paraná;2023;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;12152988;Metros cúbicos;703.460,00;1.05;739055.07;57,88;60.8
31;Minas Gerais;2018;Floresta Plantada;PFM;1.3.1.2 - Madeira em tora de pinus para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Pinus;32061;Metros cúbicos;1.408,00;1.38;1946.77;43,92;60.72
31;Minas Gerais;2019;Floresta Plantada;PFM;1.3.1.2 - Madeira em tora de pinus para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Pinus;21450;Metros cúbicos;965,00;1.34;1301.26;44,99;60.66
15;Pará;2018;Floresta Plantada;PFM;1.3.2.1 - Madeira em tora de eucalipto para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Eucalipto;500465;Metros cúbicos;21.947,00;1.38;30344.97;43,85;60.63
35;São Paulo;2018;Floresta Plantada;PFM;1.3.1.2 - Madeira em tora de pinus para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Pinus;715907;Metros cúbicos;31.365,00;1.38;43366.76;43,81;60.57
25;Paraíba;2022;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;6000;Metros cúbicos;330,00;1.1;363.4;55,00;60.56
22;Piauí;2022;Floresta Plantada;PFM;1.3.2.1 - Madeira em tora de eucalipto para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Eucalipto;9091;Metros cúbicos;500,00;1.1;550.61;55,00;60.56
42;Santa Catarina;2019;Floresta Plantada;PFM;1.3.1.2 - Madeira em tora de pinus para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Pinus;5999281;Metros cúbicos;269.378,00;1.34;363246.56;44,90;60.54
22;Piauí;2020;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;168214;Metros cúbicos;7.802,00;1.29;10124.02;46,38;60.18
17;Tocantins;2016;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;4590;Metros cúbicos;186,00;1.48;276.16;40,52;60.16
53;Distrito Federal;2013;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;32940;Metros cúbicos;1.054,00;1.87;1977.94;32,00;60.04
41;Paraná;2023;Floresta Plantada;PFNM;2.2 - Eucalipto (folha);2 - Outros produtos; Não especificado;Folha;Eucalipto;35;Toneladas;2,00;1.05;2.1;57,14;60.03
31;Minas Gerais;2015;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;5969756;Metros cúbicos;223.622,00;1.6;358154.89;37,46;59.99
15;Pará;2016;Floresta Plantada;PFM;1.3.2.1 - Madeira em tora de eucalipto para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Eucalipto;693604;Metros cúbicos;28.022,00;1.48;41604.47;40,40;59.97
42;Santa Catarina;2020;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;196670;Metros cúbicos;9.091,00;1.29;11796.65;46,22;59.97
42;Santa Catarina;2023;Floresta Plantada;PFM;1.3.1.1 - Madeira em tora de eucalipto para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Eucalipto;195381;Metros cúbicos;11.129,00;1.05;11692.12;56,96;59.84
31;Minas Gerais;2014;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;50412;Metros cúbicos;1.712,00;1.76;3014.2;33,96;59.78
41;Paraná;2004;Floresta Plantada;PFNM;2.2 - Eucalipto (folha);2 - Outros produtos; Não especificado;Folha;Eucalipto;1000;Toneladas;20,00;2.98;59.74;20,00;59.74
43;Rio Grande do Sul;2019;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;8612485;Metros cúbicos;381.516,00;1.34;514460.63;44,30;59.73
42;Santa Catarina;2017;Floresta Plantada;PFM;1.3.1.2 - Madeira em tora de pinus para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Pinus;7259560;Metros cúbicos;299.888,00;1.44;433534.8;41,31;59.71
31;Minas Gerais;2020;Floresta Plantada;PFM;1.3.1.2 - Madeira em tora de pinus para papel e celulose;1.3.1 - Madeira em tora para papel e celulose;Madeira para indústria;Tronco e/ou galhos;Pinus;21500;Metros cúbicos;989,00;1.29;1283.34;46,00;59.69
28;Sergipe;2019;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;137824;Metros cúbicos;6.092,00;1.34;8214.84;44,20;59.6
21;Maranhão;2020;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;18640;Metros cúbicos;855,00;1.29;1109.46;45,87;59.51
35;São Paulo;2023;Floresta Plantada;PFM;1.2.2 - Lenha de pinus;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Pinus;11570;Metros cúbicos;655,00;1.05;688.14;56,61;59.47
29;Bahia;2020;Floresta Plantada;PFM;1.3.2.1 - Madeira em tora de eucalipto para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Eucalipto;105041;Metros cúbicos;4.812,00;1.29;6244.14;45,81;59.44
27;Alagoas;2019;Floresta Plantada;PFM;1.2.1 - Lenha de eucalipto;1.2 - Lenha;Madeira para combustível;Tronco e/ou galhos;Eucalipto;33470;Metros cúbicos;1.474,00;1.34;1987.64;44,04;59.39
29;Bahia;2019;Floresta Plantada;PFM;1.3.2.2 - Madeira em tora de pinus para outras finalidades;1.3.2 - Madeira em tora para outras finalidades;Madeira para indústria;Tronco e/ou galhos;Pinus;17200;Metros cúbicos;757,00;1.34;1020.78;44,01;59.34
